entity,import_id,name,title,description,start_date,end_date,duration_days,project_manager,sponsor,budget,currency,contractual_end_date,methodology,status,project_code,requesting_area,project_type,priority,responsible_team,problem_statement,current_situation,consequence_if_not_done,general_objective,specific_objectives,objective_indicators,scope_included,scope_excluded,success_criteria,assumptions,constraints,project_context,political_context,geographic_context,socioeconomic_context,cultural_context,institutional_context,stakeholders,external_dependencies,regulatory_constraints,component_ref,parent_ref,phase,task_type,progress,owner,story_points,order_index,predecessor_ref,successor_ref,dependency_type,lag_days,role,email,capacity,objective,goal,velocity,sprint_ref,points,assignee,master_task_wbs,probability,impact,level,response,mitigation_plan,contingency_plan,deliverable_type,due_date,evidence_url,thread_ref,context_type,context_id,category,created_by,author,message,mentions,message_type
task,T6,,Tablero ejecutivo contextual,Publicar vista ejecutiva con indicadores brechas y responsables,2026-09-04,2026-09-12,9,,,,,,,Pendiente,,,,,,,,,,,,,,,,,,,,,,,,,,C3,,Ejecucion,task,0,Maria Torres,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task,T7,,Piloto regional y retroalimentacion,Validar el tablero con tres regiones priorizadas,2026-09-13,2026-09-22,10,,,,,,,Pendiente,,,,,,,,,,,,,,,,,,,,,,,,,,C4,,Validacion,task,0,Laura Perez,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task,T8,,Capacitacion y transferencia,Capacitar equipos regionales y documentar operacion,2026-09-23,2026-09-30,8,,,,,,,Pendiente,,,,,,,,,,,,,,,,,,,,,,,,,,C4,,Cierre,task,0,Laura Perez,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,T2,FS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,T3,FS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,T4,FS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,T5,FS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,T6,FS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,T7,FS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T7,T8,FS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint,S1,Sprint 1 - Gobierno y fuentes,,,2026-07-01,2026-07-14,,,,,,,,En curso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validar inventario y reglas,28,,,,,,,,,,,,,,,,,,,,,,
sprint,S2,Sprint 2 - Integracion base,,,2026-07-15,2026-07-28,,,,,,,,En curso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construir pipeline minimo,34,,,,,,,,,,,,,,,,,,,,,,
sprint,S3,Sprint 3 - Alertas y tablero,,,2026-07-29,2026-08-11,,,,,,,,En curso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Activar tablero piloto,34,,,,,,,,,,,,,,,,,,,,,,
story,,,Como PMO quiero ver indicadores territoriales consolidados,,,,,,,,,,,Por hacer,,,,Alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,8,Maria Torres,3,,,,,,,,,,,,,,,,,,
story,,,Como lider regional quiero cargar datos con validacion,,,,,,,,,,,Por hacer,,,,Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,5,Carlos Rios,2,,,,,,,,,,,,,,,,,,
story,,,Como sponsor quiero alertas por objetivo comprometido,,,,,,,,,,,Por hacer,,,,Alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,13,Maria Torres,5,,,,,,,,,,,,,,,,,,
risk,,,Dependencia de datos regionales,,,,,,,,,,,Abierto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejandra Trujillo,,,,,,,,,,,,,,,,,4,5,Alto,Escalar a directores regionales,Formalizar responsables y fechas de corte por region,Definir carga manual temporal para regiones bloqueadas,,,,,,,,,,,,
risk,,,Sobrecarga del arquitecto de integracion,,,,,,,,,,,Abierto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejandra Trujillo,,,,,,,,,,,,,,,,,3,4,Medio,Redistribuir tareas tecnicas,Asignar apoyo parcial de tecnologia,Reducir alcance de integraciones no criticas,,,,,,,,,,,,
risk,,,Restriccion regulatoria de datos personales,,,,,,,,,,,Abierto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejandra Trujillo,,,,,,,,,,,,,,,,,4,4,Alto,Validar tratamiento con juridica,Revisar campos sensibles antes de integrar fuentes,Anonimizar datos y limitar acceso por rol,,,,,,,,,,,,
deliverable,,Matriz de fuentes e indicadores,,,,,,,,,,,,Planeado,,,,,,,,,,,,,,,,,,,,,,,,,,C1,,,,,Alejandra Trujillo,,,,,,,,,,,,,,,,,,,,,,,Producto de conocimiento,2026-07-22,,,,,,,,,,
deliverable,,Pipeline de integracion validado,,,,,,,,,,,,Planeado,,,,,,,,,,,,,,,,,,,,,,,,,,C2,,,,,Alejandra Trujillo,,,,,,,,,,,,,,,,,,,,,,,Entregable,2026-08-20,,,,,,,,,,
deliverable,,Tablero ejecutivo con alertas,,,,,,,,,,,,Planeado,,,,,,,,,,,,,,,,,,,,,,,,,,C3,,,,,Alejandra Trujillo,,,,,,,,,,,,,,,,,,,,,,,Entregable,2026-09-12,,,,,,,,,,
deliverable,,Plan de adopcion regional,,,,,,,,,,,,Planeado,,,,,,,,,,,,,,,,,,,,,,,,,,C4,,,,,Alejandra Trujillo,,,,,,,,,,,,,,,,,,,,,,,Producto de conocimiento,2026-09-30,,,,,,,,,,
conversation_thread,TH1,,Dependencia critica de datos regionales,,,,,,,,,,,Abierta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proyecto,,Seguimiento,Ana Gomez,,,,
conversation_message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TH1,,,,,Ana Gomez,Region Pacifica reporta bloqueo para entregar fuente de indicadores antes del corte semanal,@Carlos @Alejandra,Comentario
conversation_message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TH1,,,,,Alejandra Trujillo,Escalar en comite porque afecta el objetivo especifico 1 y puede retrasar el tablero piloto,@Sponsor,Comentario
